,0
0,PURA
1,RPL23A
2,YIPF6
3,ARL8B
4,CALB2
5,MFSD3
6,PIGV
7,LGALS12
8,SH2D1A
9,PFN2
10,DLL1
11,THBS1
12,GPIHBP1
13,RAD23A
14,SERPINB11
15,SIN3B
16,NIT1
17,ATP6V1H
18,CTSA
19,IL32
20,AGMAT
21,SERPINF2
22,NUCB2
23,SERPINB12
24,DACH1
25,UTRN
26,TLR5
27,SERTAD2
28,PKP2
29,KRT1
30,EIF3M
31,KIF23
32,SLC45A4
33,CAMTA2
34,TMUB2
35,ESM1
36,NMRAL1
37,GMPS
38,YWHAB
39,TOMM40
40,ADTRP
41,NDUFAF2
42,HABP2
43,CWC27
44,POLD3
45,EVX1
46,APIP
47,RFXANK
48,MAF1
49,PLA2G2A
50,FOXP1
51,PLCE1
52,RAD17
53,RNF128
54,SPCS2
55,SETDB2
56,HOXA10
57,COX17
58,NLGN2
59,ICMT
60,FMNL1
61,TERT
62,PKMYT1
63,UTP20
64,ECI2
65,KCNMA1
66,ARHGAP9
67,MED8
68,PHF1
69,RPS7
70,PLBD1
71,PSMB6
72,DENND1C
73,OAS1
74,FBXO45
75,UGDH
76,TRIM47
77,FIBP
78,KLK8
79,NDUFS5
80,IP6K3
81,MTF2
82,IWS1
83,RBM15B
84,CLK2
85,CHTOP
86,ADAM2
87,STT3B
88,MT1A
89,SPAG17
90,RSU1
91,SRSF5
92,FBN2
93,NCAPG
94,NOP2
95,PTPRB
96,AFMID
97,SLC22A3
98,DGKD
99,TMCO1
100,RAB5C
101,UPP1
102,NUTF2
103,EPHB4
104,RPS4Y1
105,AMN
106,ANAPC2
107,KDM5B
108,KRTAP19-3
109,FHOD1
110,PTPRH
111,PCMTD1
112,C7
113,PRKCI
114,CNNM4
115,MAP2K7
116,GRIP1
117,VRK3
118,INTS5
119,PRDM1
120,SLC2A1
121,YKT6
122,KRT34
123,NFYC
124,IL10RB
125,SPINK1
126,PAK1
127,HOXD1
128,ZNF189
129,GLYCTK
130,ZMAT3
131,RPRM
132,TNNT1
133,PPOX
134,LHFPL2
135,PODXL2
136,RCOR1
137,RPS6KB1
138,RASGRP3
139,GLI3
140,PRPF3
141,KCNE4
142,ANKRD12
143,HOXC13
144,TIMP3
145,DLD
146,FCGR2B
147,DPEP2
148,DBNL
149,PPP1R9B
150,CCNE2
151,PHLDA2
152,CBL
153,LDB3
154,SDC4
155,CLN6
156,EFS
157,NAGLU
158,KITLG
159,ERRFI1
160,PSMB1
161,EVPL
162,FGA
163,IL27RA
164,WAC
165,APH1A
166,IGSF6
167,PDCD6
168,MRPS11
169,ATP6V1E1
170,SMS
171,EPB41L2
172,EPHA3
173,ITGB4
174,TOX3
175,LDHA
176,XCL1
177,METTL3
178,UBE3A
179,DNMT3A
180,PAX7
181,ZNF496
182,UBE2J2
183,ATP6AP2
184,PLIN4
185,SLIRP
186,ETAA1
187,PLP2
188,NOP16
189,GNA12
190,NR4A3
191,PPP1R7
192,ITGB2
193,OR51E2
194,SNAP29
195,PES1
196,LIN28A
197,LAMA2
198,CDH16
199,HSDL2
200,SCARB1
201,THOP1
202,PTCD3
203,SS18L1
204,SNAI3
205,NTM
206,ZGPAT
207,KRT27
208,ERH
209,RPL41
210,SERPINB3
211,TNC
212,CD1C
213,MZT2A
214,EXOSC7
215,CRKL
216,FGFBP1
217,MATN3
218,PIGA
219,NUSAP1
220,MNT
221,PLOD1
222,ARID3A
223,CD79B
224,FARS2
225,VNN2
226,PTGFR
227,RCN3
228,PPP4C
229,PEX7
230,ALDOA
231,NCEH1
232,SMARCC2
233,MLST8
234,GALC
235,ZBTB21
236,PLA2G12A
237,MAPK14
238,KCNK17
239,UBXN11
240,RNF24
241,RNF20
242,DROSHA
243,LEMD2
244,TCF23
245,IGLC3
246,MYL7
247,THY1
248,UQCRB
249,TMED9
250,RNF5
251,POLR3G
252,CDK8
253,GPRASP1
254,LAMA1
255,DEFB4B
256,TAF9B
257,PLK3
258,DOC2A
259,ADCY3
260,BAZ1B
261,LNPEP
262,PRPSAP1
263,MRPL22
264,CYP1B1
265,NAB1
266,NCAN
267,ZMYND11
268,GOLGA7B
269,HPR
270,COX6A1
271,GBF1
272,GABRA3
273,RAB15
274,CDH17
275,RMI2
276,GALNT16
277,UBL4A
278,DPP4
279,ARFGEF1
