,0
0,PURA
1,RPL23A
2,YIPF6
3,ARL8B
4,CALB2
5,MFSD3
6,PIGV
7,LGALS12
8,SPRTN
9,SH2D1A
10,MYADML2
11,PFN2
12,DLL1
13,THBS1
14,GPIHBP1
15,RAD23A
16,SERPINB11
17,SIN3B
18,NIT1
19,ATP6V1H
20,CTSA
21,IL32
22,AGMAT
23,SERPINF2
24,NUCB2
25,TMEM143
26,DACH1
27,UTRN
28,TLR5
29,FGF23
30,SERTAD2
31,ST3GAL6
32,PKP2
33,KRT1
34,EIF3M
35,KIF23
36,SLC45A4
37,CAMTA2
38,TMUB2
39,ESM1
40,NMRAL1
41,GMPS
42,YWHAB
43,TOMM40
44,ADTRP
45,NDUFAF2
46,HABP2
47,CWC27
48,POLD3
49,MYOM2
50,MAP9
51,APIP
52,RFXANK
53,MAF1
54,PLA2G2A
55,FOXP1
56,PLCE1
57,RAD17
58,RNF128
59,ZNF101
60,SPCS2
61,HOXA10
62,COX17
63,NLGN2
64,ICMT
65,FMNL1
66,HAO1
67,PKMYT1
68,UTP20
69,ECI2
70,KCNMA1
71,ARHGAP9
72,MED8
73,PHF1
74,RPS7
75,TRAPPC2
76,PLBD1
77,ATP2B2
78,PSMB6
79,DENND1C
80,OAS1
81,FBXO45
82,UGDH
83,CHN2
84,XRRA1
85,TRIM47
86,FIBP
87,KLK8
88,NDUFS5
89,IP6K3
90,MTF2
91,RBM15B
92,IWS1
93,CLK2
94,CHTOP
95,ADAM2
96,STT3B
97,MT1A
98,SPAG17
99,ATP2A1
100,RSU1
101,SRSF5
102,FBN2
103,NCAPG
104,FANK1
105,NOP2
106,PTPRB
107,AFMID
108,DGKD
109,SLC22A3
110,TMCO1
111,RAB5C
112,UPP1
113,NUTF2
114,EPHB4
115,RPS4Y1
116,ANAPC2
117,MYO3B
118,KDM5B
119,FHOD1
120,PTPRH
121,PCMTD1
122,C7
123,GLRA3
124,TET1
125,PRKCI
126,MAP2K7
127,CNNM4
128,KIRREL2
129,GRIP1
130,EBF2
131,VRK3
132,INTS5
133,PRDM1
134,SLC2A1
135,YKT6
136,KRT34
137,NFYC
138,NOC3L
139,IL10RB
140,KCNH1
141,SPINK1
142,PAK1
143,ZNF189
144,WRN
145,GLYCTK
146,MASP2
147,ZMAT3
148,RPRM
149,TNNT1
150,PPOX
151,LHFPL2
152,PODXL2
153,RCOR1
154,RPS6KB1
155,RASGRP3
156,GLI3
157,PRPF3
158,KCNE4
159,ANKRD12
160,HOXC13
161,TIMP3
162,DLD
163,SSBP2
164,FCGR2B
165,PHYKPL
166,DBNL
167,PPP1R9B
168,NME2
169,CCNE2
170,PHLDA2
171,CBL
172,LDB3
173,SDC4
174,CLN6
175,EFS
176,NAGLU
177,KITLG
178,ERRFI1
179,PSMB1
180,EVPL
181,FGA
182,TTN
183,IL27RA
184,AMPH
185,WAC
186,APH1A
187,IGSF6
188,PDCD6
189,MRPS11
190,ATP6V1E1
191,SMS
192,EPB41L2
193,EPHA3
194,ITGB4
195,TOX3
196,LDHA
197,METTL3
198,UBE3A
199,DNMT3A
200,SERAC1
201,PAX7
202,ZNF304
203,ZNF496
204,UBE2J2
205,ATP6AP2
206,PLIN4
207,SLIRP
208,ETAA1
209,PLP2
210,NOP16
211,GNA12
212,HEY2
213,ACOX2
214,NR4A3
215,PPP1R7
216,ITGB2
217,OR51E2
218,CYP2E1
219,PES1
220,SNAP29
221,LIN28A
222,LAMA2
223,HSDL2
224,SCARB1
225,THOP1
226,PTCD3
227,SS18L1
228,NTM
229,ZGPAT
230,ZNF551
231,RPL41
232,ERH
233,SERPINB3
234,TNC
235,CMTM5
236,CD1C
237,MZT2A
238,EXOSC7
239,CRKL
240,FGFBP1
241,MATN3
242,PIGA
243,NUSAP1
244,PLOD1
245,CD79B
246,FARS2
247,VNN2
248,PTGFR
249,RCN3
250,PPP4C
251,C2orf49
252,PEX7
253,ALDOA
254,NCEH1
255,SMARCC2
256,NRAP
257,MLST8
258,GALC
259,ZBTB21
260,PLA2G12A
261,MAPK14
262,ZNF451
263,KCNK17
264,UBXN11
265,RNF24
266,DROSHA
267,RNF20
268,LEMD2
269,BTLA
270,RREB1
271,IGLC3
272,MYL7
273,MYOT
274,THY1
275,UQCRB
276,TMED9
277,RNF5
278,POLR3G
279,CDK8
