,0
0,RPL23A
1,YIPF6
2,ARL8B
3,CALB2
4,MFSD3
5,PIGV
6,LGALS12
7,SH2D1A
8,PFN2
9,DLL1
10,THBS1
11,GPIHBP1
12,RAD23A
13,SIN3B
14,NIT1
15,ATP6V1H
16,CTSA
17,IL32
18,AGMAT
19,SERPINF2
20,NUCB2
21,TMEM143
22,UTRN
23,TLR5
24,SERTAD2
25,ST3GAL6
26,PKP2
27,KRT1
28,EIF3M
29,KIF23
30,SLC45A4
31,CAMTA2
32,TMUB2
33,ESM1
34,NMRAL1
35,GMPS
36,YWHAB
37,TOMM40
38,NDUFAF2
39,SEPSECS
40,HABP2
41,CWC27
42,POLD3
43,SLC17A1
44,EVX1
45,APIP
46,RFXANK
47,MAF1
48,PLA2G2A
49,FOXP1
50,RNF128
51,SPCS2
52,COX17
53,NLGN2
54,ICMT
55,HAO1
56,FMNL1
57,TERT
58,ECI2
59,ARHGAP9
60,MED8
61,PHF1
62,RPS7
63,GFAP
64,PLBD1
65,ATP2B2
66,PSMB6
67,DENND1C
68,OAS1
69,UGDH
70,CHN2
71,TRIM47
72,FIBP
73,NDUFS5
74,IP6K3
75,MTF2
76,IWS1
77,RBM15B
78,CBLN3
79,CLK2
80,CHTOP
81,STT3B
82,MT1A
83,RSU1
84,SRSF5
85,NCAPG
86,NOP2
87,AFMID
88,SLC22A3
89,DGKD
90,TMCO1
91,RAB5C
92,UPP1
93,NUTF2
94,EPHB4
95,RPS4Y1
96,AMN
97,ANAPC2
98,KDM5B
99,FHOD1
100,PTPRH
101,PCMTD1
102,C7
103,PRKCI
104,CNNM4
105,MAP2K7
106,KIRREL2
107,INTS5
108,SLC2A1
109,YKT6
110,WNT1
111,NFYC
112,IL10RB
113,SPINK1
114,PAK1
115,CTRB2
116,ZNF189
117,GLYCTK
118,MASP2
119,ZMAT3
120,TNNT1
121,PPOX
122,LHFPL2
123,PODXL2
124,RCOR1
125,RPS6KB1
126,PRPF3
127,KCNE4
128,DLD
129,FCGR2B
130,PHYKPL
131,DBNL
132,PPP1R9B
133,PHLDA2
134,SDC4
135,CLN6
136,EFS
137,CHRNA4
138,NAGLU
139,ERRFI1
140,PSMB1
141,EVPL
142,FGA
143,IL27RA
144,WAC
145,APH1A
146,BRDT
147,IGSF6
148,PDCD6
149,MRPS11
150,ATP6V1E1
151,SMS
152,EPB41L2
153,EPHA3
154,ITGB4
155,TOX3
156,LDHA
157,METTL3
158,DNMT3A
159,ADRA1A
160,OPRK1
161,ZNF496
162,UBE2J2
163,ATP6AP2
164,PLIN4
165,SLIRP
166,ETAA1
167,PLP2
168,TREH
169,NOP16
170,GNA12
171,HEY2
172,ACOX2
173,NR4A3
174,PPP1R7
175,ITGB2
176,CYP2E1
177,PES1
178,SNAP29
179,LAMA2
180,CDH16
181,SLCO1A2
182,HSDL2
183,SCARB1
184,THOP1
185,PTCD3
186,SS18L1
187,CYP2D6
188,NTM
189,ZGPAT
190,ERH
191,RPL41
192,SERPINB3
193,TNC
194,CD1C
195,MZT2A
196,EXOSC7
197,CRKL
198,OGDHL
199,MATN3
200,PIGA
201,NUSAP1
202,PLOD1
203,ARID3A
204,CD79B
205,FARS2
206,PTGFR
207,VNN2
208,RCN3
209,PPP4C
210,PEX7
211,ALDOA
212,NCEH1
213,SMARCC2
214,MLST8
215,GALC
216,ZBTB21
217,PLA2G12A
218,MAPK14
219,KCNK17
220,UBXN11
221,RNF20
222,DROSHA
223,LEMD2
224,RREB1
225,IGLC3
226,THY1
227,UQCRB
228,TMED9
229,RNF5
230,ONECUT1
231,CDK8
232,LAMA1
233,ADCY3
234,TAF9B
235,PLK3
236,MPLKIP
237,BAZ1B
238,RIC8B
239,WNK4
240,LNPEP
241,PRPSAP1
242,MRPL22
243,CYP1B1
244,NAB1
245,NCAN
246,ZMYND11
247,GOLGA7B
248,HPR
249,COX6A1
250,GBF1
251,GABRA3
252,RAB15
253,CDH17
254,RMI2
255,UBL4A
256,DPP4
257,TFB1M
258,ARFGEF1
259,HOXB7
260,MBOAT2
261,FAM210B
262,SMO
263,ITGB6
264,USP18
265,LPCAT3
266,SOSTDC1
267,YEATS4
268,CAND1
269,KCNJ5
270,GRB14
271,KCNJ11
272,MEP1A
273,AGXT2
274,POGK
275,SIRT5
276,SMARCC1
277,PRKACB
278,HOOK3
279,PPIL4
280,DHX15
281,PLIN3
282,CHST4
283,DENND5A
284,ATP6V0E1
285,KLK3
286,KDM4A
287,ANG
288,DCUN1D1
289,LCP1
290,PDRG1
291,AKR1C2
292,SDHD
293,EIF3I
294,METAP2
295,TTLL4
296,HMGB2
297,UBE2N
298,MET
299,PLBD2
300,CHMP1B
301,RIPPLY1
302,COLEC12
303,ABCA1
304,ZNF385A
305,NIF3L1
306,ANKRD1
307,VTA1
308,CNIH1
309,MBL2
310,ZCCHC17
311,EML2
312,PON1
313,GPR35
314,FGD3
315,KATNB1
316,CD22
317,TM2D3
318,MANSC1
319,CREM
320,CFHR2
321,ABCG1
322,ZDHHC6
323,RANBP6
324,CSPG4
325,MYH4
326,HSF1
327,RTN2
328,TMED6
329,LYZ
330,SUMO1
331,SERPINB9
332,DDX21
333,VAC14
334,CCR1
335,USP9X
336,RPL10L
337,ST7
338,SAP30
339,FNBP1L
340,ISG20L2
341,NPFFR2
342,NR2F1
343,SAP30L
344,PRKAR1A
345,MORF4L2
346,PDXK
347,SERTAD3
348,AAAS
349,UBE2Z
350,XPO6
351,CDK5RAP2
352,GALNT10
353,CBX5
354,NPPB
355,ICA1
356,EXT1
357,WIF1
358,FGFR4
359,PIP5K1C
360,CA5A
361,ATP11A
362,TRIM25
363,SELE
364,DCXR
365,PROM1
366,MBOAT1
367,CRB3
368,ZNF775
369,SIAH2
370,XPO4
371,TMEM30A
372,POLR3D
373,WAS
374,FAM107A
375,FBXO6
376,DDR1
377,RHBDL3
378,RBM6
379,JUN
380,UFL1
381,LAMP3
382,CDH6
383,SPI1
384,CUL4B
385,EBPL
386,SLC40A1
387,RASL10B
388,MRPL20
389,PPARA
390,BPI
391,IL33
392,TINAG
393,SCPEP1
394,SGCB
395,GC
396,PLIN1
397,HNRNPAB
398,PDIA3
399,RPF2
400,APPL1
401,UPF2
402,MAOB
403,SLPI
404,DDX11
405,SNW1
406,TOR4A
407,MED1
408,CRH
409,TMEM203
410,RBM12
411,PDCD4
412,MT1E
413,DERL3
414,MAPK4
415,PRDX2
416,SPTBN1
417,BATF2
418,GAS6
419,SDAD1
420,HAUS5
421,SKP2
422,FCGRT
423,DBN1
424,DCAF16
425,ZNF622
426,PISD
427,ANXA3
428,HS3ST3A1
429,TSPYL5
430,EIF3G
431,CTSZ
432,SLC20A1
433,POLG
434,ZNF692
435,F2RL2
436,TP53I11
437,SLA
438,YIPF1
439,RPL38
440,NT5C2
441,PTPN12
442,WASL
443,ALDH1A3
444,ZNF318
445,RHEB
446,MNS1
447,PTK2B
448,EVA1C
449,GNS
450,LAPTM4B
451,MRPS5
452,TONSL
453,ZNF664
454,SLC25A26
455,IL10RA
456,TYK2
457,MTMR4
458,ADAM15
459,ENPEP
460,C16orf91
461,ZBTB47
462,BDH1
463,PSMB5
