,0
0,PURA
1,RPL23A
2,YIPF6
3,ARL8B
4,CALB2
5,MFSD3
6,PIGV
7,ZNF708
8,PFN2
9,DLL1
10,THBS1
11,GPIHBP1
12,RAD23A
13,SERPINB11
14,SIN3B
15,NIT1
16,ATP6V1H
17,CTSA
18,IL32
19,SERPINF2
20,PTPN4
21,NUCB2
22,UTRN
23,SERTAD2
24,PKP2
25,EIF3M
26,KIF23
27,SLC45A4
28,CAMTA2
29,TMUB2
30,ESM1
31,NMRAL1
32,GMPS
33,YWHAB
34,TOMM40
35,ADTRP
36,NDUFAF2
37,HABP2
38,CWC27
39,POLD3
40,APIP
41,RFXANK
42,MAF1
43,PLA2G2A
44,FOXP1
45,PLCE1
46,RAD17
47,RNF128
48,ZNF101
49,SPCS2
50,HOXA10
51,COX17
52,NLGN2
53,ICMT
54,FMNL1
55,HAO1
56,TERT
57,PKMYT1
58,UTP20
59,ECI2
60,KCNMA1
61,ARHGAP9
62,MED8
63,PHF1
64,RPS7
65,PLBD1
66,PSMB6
67,DENND1C
68,OAS1
69,FBXO45
70,UGDH
71,TRIM47
72,FIBP
73,KLK8
74,NDUFS5
75,IP6K3
76,MTF2
77,IWS1
78,RBM15B
79,CLK2
80,CHTOP
81,STT3B
82,MT1A
83,SPAG17
84,RSU1
85,SRSF5
86,FBN2
87,NCAPG
88,FANK1
89,NOP2
90,AFMID
91,PTPRB
92,SLC22A3
93,DGKD
94,TMCO1
95,RAB5C
96,UPP1
97,NUTF2
98,EPHB4
99,RPS4Y1
100,AMN
101,ANAPC2
102,KDM5B
103,FHOD1
104,PTPRH
105,PCMTD1
106,C7
107,PRKCI
108,CNNM4
109,MAP2K7
110,KIRREL2
111,INTS5
112,PRDM1
113,SLC2A1
114,YKT6
115,NFYC
116,NOC3L
117,IL10RB
118,SPINK1
119,PAK1
120,HOXD1
121,ZNF189
122,GLYCTK
123,ZMAT3
124,RPRM
125,TNNT1
126,PPOX
127,LHFPL2
128,PODXL2
129,RCOR1
130,RPS6KB1
131,GLI3
132,PRPF3
133,KCNE4
134,ANKRD12
135,HOXC13
136,TIMP3
137,DLD
138,DPEP2
139,FCGR2B
140,PHYKPL
141,DBNL
142,PPP1R9B
143,PHLDA2
144,CBL
145,SDC4
146,CLN6
147,EFS
148,NAGLU
149,KITLG
150,ERRFI1
151,PSMB1
152,EVPL
153,FGA
154,IL27RA
155,AMPH
156,WAC
157,APH1A
158,BRDT
159,IGSF6
160,PDCD6
161,ATP6V1E1
162,SMS
163,EPB41L2
164,ITGB4
165,EPHA3
166,TOX3
167,LDHA
168,METTL3
169,UBE3A
170,DNMT3A
171,PAX7
172,ZNF496
173,UBE2J2
174,ATP6AP2
175,PLIN4
176,SLIRP
177,ETAA1
178,PLP2
179,NOP16
180,GNA12
181,HEY2
182,ACOX2
183,NR4A3
184,PPP1R7
185,ITGB2
186,SNAP29
187,PES1
188,LIN28A
189,LAMA2
190,CDH16
191,HSDL2
192,SCARB1
193,THOP1
194,PTCD3
195,SS18L1
196,SNAI3
197,CYP2D6
198,NTM
199,ZGPAT
200,ERH
201,RPL41
202,SERPINB3
203,TNC
204,CD1C
205,MZT2A
206,EXOSC7
207,CRKL
208,OGDHL
209,FGFBP1
210,MATN3
211,PIGA
212,NUSAP1
213,PLOD1
214,ARID3A
215,CD79B
216,FARS2
217,VNN2
218,PTGFR
219,RCN3
220,PPP4C
221,C2orf49
222,PEX7
223,ALDOA
224,NCEH1
225,SMARCC2
226,MLST8
227,GALC
228,ZBTB21
229,PLA2G12A
230,MAPK14
231,ZNF451
232,KCNK17
233,MED31
234,RNF24
235,UBXN11
236,RNF20
237,DROSHA
238,LEMD2
239,RREB1
240,IGLC3
241,THY1
242,UQCRB
243,TMED9
244,RNF5
245,CDK8
246,LAMA1
247,ADCY3
248,TAF9B
249,PLK3
250,DOC2A
251,BAZ1B
252,LNPEP
253,CDKL2
254,RAVER2
255,PRPSAP1
256,MRPL22
257,CYP1B1
258,NAB1
259,ZMYND11
260,GOLGA7B
261,HPR
262,COX6A1
263,GBF1
264,GABRA3
265,RAB15
266,MGA
267,CDH17
268,RMI2
269,UBL4A
270,DPP4
271,ARFGEF1
272,HOXB7
273,MBOAT2
274,FAM210B
275,SMO
276,ITGB6
277,USP18
278,ABL2
279,LPCAT3
