,TCGA,miRTarBase
0,hsa-let-7a-2,hsa-let-7a-2-3p
1,hsa-let-7b,hsa-let-7b-5p
2,hsa-let-7c,hsa-let-7c-5p
3,hsa-let-7d,hsa-let-7d-5p
4,hsa-let-7e,hsa-let-7e-5p
5,hsa-let-7f-1,hsa-let-7f-1-3p
6,hsa-let-7f-2,hsa-let-7f-2-3p
7,hsa-let-7g,hsa-let-7g-5p
8,hsa-let-7i,hsa-let-7i-3p
9,hsa-mir-100,hsa-miR-100-3p
10,hsa-mir-103a-2,hsa-miR-103a-2-5p
11,hsa-mir-106a,hsa-miR-106a-5p
12,hsa-mir-106b,hsa-miR-106b-5p
13,hsa-mir-107,hsa-miR-107
14,hsa-mir-10a,hsa-miR-10a-5p
15,hsa-mir-10b,hsa-miR-10b-5p
16,hsa-mir-1178,hsa-miR-1178-3p
17,hsa-mir-1179,hsa-miR-1179
18,hsa-mir-1180,hsa-miR-1180-5p
19,hsa-mir-1181,hsa-miR-1181
20,hsa-mir-1182,hsa-miR-1182
21,hsa-mir-1185-1,hsa-miR-1185-1-3p
22,hsa-mir-1185-2,hsa-miR-1185-2-3p
23,hsa-mir-1193,hsa-miR-1193
24,hsa-mir-1197,hsa-miR-1197
25,hsa-mir-1199,hsa-miR-1199-5p
26,hsa-mir-1203,hsa-miR-1203
27,hsa-mir-1204,hsa-miR-1204
28,hsa-mir-1205,hsa-miR-1205
29,hsa-mir-1207,hsa-miR-1207-3p
30,hsa-mir-122,hsa-miR-122-3p
31,hsa-mir-1224,hsa-miR-1224-5p
32,hsa-mir-1225,hsa-miR-1225-3p
33,hsa-mir-1226,hsa-miR-1226-3p
34,hsa-mir-1227,hsa-miR-1227-3p
35,hsa-mir-1228,hsa-miR-1228-5p
36,hsa-mir-1229,hsa-miR-1229-3p
37,hsa-mir-1231,hsa-miR-1231
38,hsa-mir-1234,hsa-miR-1234-3p
39,hsa-mir-1236,hsa-miR-1236-5p
40,hsa-mir-1237,hsa-miR-1237-5p
41,hsa-mir-1238,hsa-miR-1238-5p
42,hsa-mir-1243,hsa-miR-1243
43,hsa-mir-1245a,hsa-miR-1245a
44,hsa-mir-1245b,hsa-miR-1245b-3p
45,hsa-mir-1246,hsa-miR-1246
46,hsa-mir-1247,hsa-miR-1247-3p
47,hsa-mir-1248,hsa-miR-1248
48,hsa-mir-1249,hsa-miR-1249-3p
49,hsa-mir-1250,hsa-miR-1250-5p
50,hsa-mir-1251,hsa-miR-1251-5p
51,hsa-mir-1252,hsa-miR-1252-3p
52,hsa-mir-1253,hsa-miR-1253
53,hsa-mir-1255a,hsa-miR-1255a
54,hsa-mir-1256,hsa-miR-1256
55,hsa-mir-1257,hsa-miR-1257
56,hsa-mir-1258,hsa-miR-1258
57,hsa-mir-125a,hsa-miR-125a-3p
58,hsa-mir-125b-2,hsa-miR-125b-2-3p
59,hsa-mir-126,hsa-miR-126-3p
60,hsa-mir-1260a,hsa-miR-1260a
61,hsa-mir-1260b,hsa-miR-1260b
62,hsa-mir-1262,hsa-miR-1262
63,hsa-mir-1263,hsa-miR-1263
64,hsa-mir-1264,hsa-miR-1264
65,hsa-mir-1265,hsa-miR-1265
66,hsa-mir-1266,hsa-miR-1266-5p
67,hsa-mir-1267,hsa-miR-1267
68,hsa-mir-1269a,hsa-miR-1269a
69,hsa-mir-1269b,hsa-miR-1269b
70,hsa-mir-127,hsa-miR-127-3p
71,hsa-mir-1270,hsa-miR-1270
72,hsa-mir-1271,hsa-miR-1271-3p
73,hsa-mir-1272,hsa-miR-1272
74,hsa-mir-1273c,hsa-miR-1273c
75,hsa-mir-1273h,hsa-miR-1273h-3p
76,hsa-mir-1275,hsa-miR-1275
77,hsa-mir-1276,hsa-miR-1276
78,hsa-mir-1277,hsa-miR-1277-5p
79,hsa-mir-1278,hsa-miR-1278
80,hsa-mir-128-2,hsa-miR-128-2-5p
81,hsa-mir-1281,hsa-miR-1281
82,hsa-mir-1282,hsa-miR-1282
83,hsa-mir-1284,hsa-miR-1284
84,hsa-mir-1286,hsa-miR-1286
85,hsa-mir-1287,hsa-miR-1287-5p
86,hsa-mir-1288,hsa-miR-1288-5p
87,hsa-mir-129-1,hsa-miR-129-1-3p
88,hsa-mir-129-2,hsa-miR-129-2-3p
89,hsa-mir-1290,hsa-miR-1290
90,hsa-mir-1291,hsa-miR-1291
91,hsa-mir-1292,hsa-miR-1292-3p
92,hsa-mir-1293,hsa-miR-1293
93,hsa-mir-1294,hsa-miR-1294
94,hsa-mir-1295a,hsa-miR-1295a
95,hsa-mir-1295b,hsa-miR-1295b-5p
96,hsa-mir-1296,hsa-miR-1296-3p
97,hsa-mir-1297,hsa-miR-1297
98,hsa-mir-1298,hsa-miR-1298-5p
99,hsa-mir-1299,hsa-miR-1299
100,hsa-mir-1301,hsa-miR-1301-3p
101,hsa-mir-1303,hsa-miR-1303
102,hsa-mir-1304,hsa-miR-1304-3p
103,hsa-mir-1305,hsa-miR-1305
104,hsa-mir-1306,hsa-miR-1306-3p
105,hsa-mir-1307,hsa-miR-1307-5p
106,hsa-mir-130a,hsa-miR-130a-5p
107,hsa-mir-130b,hsa-miR-130b-5p
108,hsa-mir-132,hsa-miR-132-3p
109,hsa-mir-1322,hsa-miR-1322
110,hsa-mir-1323,hsa-miR-1323
111,hsa-mir-133b,hsa-miR-133b
112,hsa-mir-134,hsa-miR-134-5p
113,hsa-mir-1343,hsa-miR-1343-3p
114,hsa-mir-135b,hsa-miR-135b-3p
115,hsa-mir-136,hsa-miR-136-5p
116,hsa-mir-137,hsa-miR-137
117,hsa-mir-138-1,hsa-miR-138-1-3p
118,hsa-mir-138-2,hsa-miR-138-2-3p
119,hsa-mir-139,hsa-miR-139-3p
120,hsa-mir-140,hsa-miR-140-5p
121,hsa-mir-141,hsa-miR-141-3p
122,hsa-mir-142,hsa-miR-142-3p
123,hsa-mir-143,hsa-miR-143-5p
124,hsa-mir-144,hsa-miR-144-5p
125,hsa-mir-145,hsa-miR-145-3p
126,hsa-mir-1468,hsa-miR-1468-5p
127,hsa-mir-1469,hsa-miR-1469
128,hsa-mir-146a,hsa-miR-146a-3p
129,hsa-mir-146b,hsa-miR-146b-3p
130,hsa-mir-147a,hsa-miR-147a
131,hsa-mir-147b,hsa-miR-147b
