,0
0,ATP1A3
1,GPR50
2,RPLP0
3,CD248
4,NSMCE2
5,SYTL4
6,PBXIP1
7,EHD4
8,MUC12
9,ORAI2
10,SYS1
11,VCPIP1
12,SNRPN
13,PLD2
14,PSD
15,PCYOX1
16,HTR1E
17,ATP6V1A
18,EBNA1BP2
19,ZFP57
20,TCP1
21,ZBED4
22,AGT
23,MSC
24,APC
25,TACC3
26,AHRR
27,TPST2
28,ZNF627
29,PAQR5
30,PCDH15
31,FIGN
32,FGF3
33,GTF2E2
34,KRT15
35,ZBTB32
36,VPS36
37,ZBTB33
38,CUL5
39,NUDT10
40,TNFRSF25
41,PKN3
42,GLB1L
43,HMBS
44,EDNRA
45,NIPAL3
46,TMX4
47,MMP17
48,COX11
49,ITIH2
50,TBC1D2
51,PXMP2
52,NANOS1
53,F2
54,CYP4B1
55,FAM171A1
56,CARD6
57,SERPINA12
58,MNX1
59,CD82
60,PROCR
61,LYPLA1
62,ZFX
63,CTBP1
64,IFIH1
65,MUC15
66,CCDC88A
67,ZBTB40
68,PSMB2
69,SLC6A15
70,FAM20B
71,TOP3A
72,RGCC
73,DPY19L4
74,LINGO1
75,P2RY2
76,YTHDC1
77,TAF13
78,PFKFB2
79,PRKCZ
80,ADORA3
81,USP10
82,TNS3
83,GINS1
84,RAD18
85,C11orf45
86,HIST1H1E
87,KLHL4
88,CILP2
89,CLIC3
90,GLIS3
91,SCAF11
92,TOMM22
93,KRT81
94,COX7A2L
95,CAB39L
96,ALDH18A1
97,ENO1
98,RAB7A
99,TSHZ3
100,RASD2
101,CAMK2A
102,SMOC1
103,SERPIND1
104,SFXN2
105,TBC1D9B
106,CD151
107,SERPINA7
108,CAPG
109,DCTN4
110,TATDN2
111,POLD3
112,PARP15
113,CENPA
114,ZNF317
115,HIST2H2AC
116,CCDC106
117,LAMB1
118,LIPG
119,PRKRA
120,ALDH1B1
121,FURIN
122,ING4
123,SCIMP
124,KLHL20
125,ZNF561
126,IL32
127,VPS41
128,ATP2C2
129,FAM13B
130,OPRK1
131,EDIL3
132,SPINK6
133,EMILIN1
134,KIAA0753
135,HSF2
136,SPAST
137,EPB41L4B
138,SHPK
139,OR51E1
140,MESP2
141,PFDN6
142,SETBP1
143,LPL
144,ZNF407
145,ARHGAP22
146,COMMD5
147,ZMPSTE24
148,BIK
149,ZNF621
150,SULF2
151,GCAT
152,TCIRG1
153,NPAS1
154,RARRES2
155,MMADHC
156,ANAPC4
